,Unnamed: 0,mixer0.state_emptying_tank_B201.active,mixer0.state_emptying_tank_B202.active,mixer0.state_emptying_tank_B203.active,mixer0.state_emptying_tank_B204.active,mixer0.state_filling_tank_B201.active,mixer0.state_filling_tank_B202.active,mixer0.state_filling_tank_B203.active,mixer0.state_initialStep.active,mixer0.tank_B201.level,mixer0.tank_B202.level,mixer0.tank_B203.level,mixer0.tank_B204.level,mixer0.sensor_continuous_pressure_tank_B201.p,mixer0.sensor_continuous_pressure_tank_B202.p,mixer0.sensor_continuous_pressure_tank_B203.p,mixer0.sensor_continuous_pressure_tank_B204.p,mixer0.sensor_continuous_volumeFlowRate.V_flow,mixer0.sensor_continuous_volumeFlowRate.port_a.m_flow,mixer0.sensor_continuous_volumeFlowRate.port_b.m_flow,mixer0.pump_P101.N_in,mixer0.pump_n_in,mixer0.sensor_discrete_tank_B201_high.showActive,mixer0.sensor_discrete_tank_B201_low.showActive,mixer0.sensor_discrete_tank_B201_medium.showActive,mixer0.sensor_discrete_tank_B202_high.showActive,mixer0.sensor_discrete_tank_B202_low.showActive,mixer0.sensor_discrete_tank_B202_medium.showActive,mixer0.sensor_discrete_tank_B203_high.showActive,mixer0.sensor_discrete_tank_B203_low.showActive,mixer0.sensor_discrete_tank_B203_medium.showActive,mixer0.sensor_discrete_tank_B204_high.showActive,mixer0.sensor_discrete_tank_B204_low.showActive,mixer0.sensor_discrete_tank_B204_medium.showActive,mixer0.clogging_valve.opening,mixer0.leaking_valve.opening,mixer0.valve_in0.opening,mixer0.valve_in1.opening,mixer0.valve_in2.opening,mixer0.valve_out.opening,mixer0.valve_pump_tank_B201.opening,mixer0.valve_pump_tank_B202.opening,mixer0.valve_pump_tank_B203.opening,mixer0.valve_pump_tank_B204.opening
0,0,0,0,0,0,1,0,0,0,0.015,0.025,0.035,0.01,100137.0460688609,100234.9361180473,100332.8261672336,100088.1010442677,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0.015,0.025,0.035,0.01,100137.0460667859,100234.9361159722,100332.8261651586,100088.1010442677,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2,2,0,0,0,0,1,0,0,0,0.015,0.025,0.035,0.01,100137.0460667859,100234.9361159722,100332.8261651586,100088.1010442677,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3,3,0,0,0,0,1,0,0,0,0.0157008951396059,0.025,0.035,0.01,100144.8651774227,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-9.049597602793488e-18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4,4,0,0,0,0,1,0,0,0,0.0157008951396059,0.025,0.035,0.01,100144.8651774227,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-9.049597602793488e-18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,5,0,0,0,0,1,0,0,0,0.0164018003928012,0.025,0.035,0.01,100150.7554259698,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-3.518277156854522e-18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6,6,0,0,0,0,1,0,0,0,0.0164018003928012,0.025,0.035,0.01,100150.7554259698,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-3.518277156854522e-18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,7,0,0,0,0,1,0,0,0,0.0171027147363807,0.025,0.035,0.01,100157.609859675,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-1.367826107347618e-18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8,8,0,0,0,0,1,0,0,0,0.0171027147363807,0.025,0.035,0.01,100157.609859675,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-1.367826107347618e-18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9,9,0,0,0,0,1,0,0,0,0.0178036373739818,0.025,0.035,0.01,100164.4641434501,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-5.31779761698123e-19,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,10,0,0,0,0,1,0,0,0,0.0178036373739818,0.025,0.035,0.01,100164.4641434501,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-5.31779761698123e-19,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,11,0,0,0,0,1,0,0,0,0.018504567599763,0.025,0.035,0.01,100171.3182874398,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-2.0674386379400864e-19,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12,12,0,0,0,0,1,0,0,0,0.018504567599763,0.025,0.035,0.01,100171.3182874398,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-2.0674386379400864e-19,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13,13,0,0,0,0,1,0,0,0,0.0192055047856716,0.025,0.035,0.01,100178.17230094,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-8.037732039986464e-20,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,14,0,0,0,0,1,0,0,0,0.0192055047856716,0.025,0.035,0.01,100178.17230094,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-8.037732039986464e-20,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15,15,0,0,0,0,1,0,0,0,0.0199064486090255,0.025,0.035,0.01,100185.0262073153,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-3.225796241555542e-20,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16,16,0,0,0,0,1,0,0,0,0.0199064486090255,0.025,0.035,0.01,100185.0262073153,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-3.225796241555542e-20,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17,17,0,0,0,0,1,0,0,0,0.0206073983070721,0.025,0.035,0.01,100191.879999524,100234.9361159733,100332.8261651597,100088.1010442677,0.0,0.0,0.0,-1.2961269997272731e-20,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
